Rainfall,Cloud3pm,Humidity3pm,No,Yes
Precipitação Alta,Céu Limpo,Alta,0.3333333333333333,0.6666666666666666
Precipitação Alta,Céu Limpo,Baixa,0.6666666666666666,0.3333333333333333
Precipitação Alta,Céu Limpo,Média,0.625,0.375
Precipitação Alta,Nublado,Alta,0.11458333333333333,0.8854166666666666
Precipitação Alta,Nublado,Média,0.4782608695652174,0.5217391304347826
Precipitação Alta,Parcialmente Nublado,Alta,0.35714285714285715,0.6428571428571429
Precipitação Alta,Parcialmente Nublado,Baixa,1.0,0.0
Precipitação Alta,Parcialmente Nublado,Média,0.7,0.3
Precipitação Baixa,Céu Limpo,Alta,0.6422018348623854,0.3577981651376147
Precipitação Baixa,Céu Limpo,Baixa,0.9454148471615721,0.05458515283842795
Precipitação Baixa,Céu Limpo,Média,0.8388888888888889,0.16111111111111112
Precipitação Baixa,Nublado,Alta,0.28172348484848486,0.7182765151515151
Precipitação Baixa,Nublado,Baixa,0.8160535117056856,0.18394648829431437
Precipitação Baixa,Nublado,Média,0.6613207547169812,0.33867924528301885
Precipitação Baixa,Parcialmente Nublado,Alta,0.5011933174224343,0.4988066825775656
Precipitação Baixa,Parcialmente Nublado,Baixa,0.860655737704918,0.13934426229508196
Precipitação Baixa,Parcialmente Nublado,Média,0.7248653500897666,0.2751346499102334
Precipitação Média,Céu Limpo,Alta,0.46551724137931033,0.5344827586206896
Precipitação Média,Céu Limpo,Baixa,0.9166666666666666,0.08333333333333333
Precipitação Média,Céu Limpo,Média,0.7665706051873199,0.2334293948126801
Precipitação Média,Nublado,Alta,0.17215428033866415,0.8278457196613358
Precipitação Média,Nublado,Baixa,0.7894736842105263,0.21052631578947367
Precipitação Média,Nublado,Média,0.5220535068691251,0.4779464931308749
Precipitação Média,Parcialmente Nublado,Alta,0.39086294416243655,0.6091370558375635
Precipitação Média,Parcialmente Nublado,Baixa,0.8904109589041096,0.1095890410958904
Precipitação Média,Parcialmente Nublado,Média,0.5951156812339332,0.40488431876606684
Sem Chuva,Céu Limpo,Alta,0.8250539956803455,0.17494600431965443
Sem Chuva,Céu Limpo,Baixa,0.9749629514078465,0.0250370485921535
Sem Chuva,Céu Limpo,Média,0.9366458414681765,0.06335415853182351
Sem Chuva,Nublado,Alta,0.4038364462392731,0.5961635537607269
Sem Chuva,Nublado,Baixa,0.8463884124261483,0.15361158757385174
Sem Chuva,Nublado,Média,0.7643187735030373,0.2356812264969627
Sem Chuva,Parcialmente Nublado,Alta,0.6910994764397905,0.3089005235602094
Sem Chuva,Parcialmente Nublado,Baixa,0.9362690449646971,0.06373095503530286
Sem Chuva,Parcialmente Nublado,Média,0.8565068057499046,0.1434931942500954
